run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
123,1.200239109848485,0.009467084676932247,14.0,24.56,23.0,7.0,1.899607013879911,0.25329745148148475,0.937900389821746,0.12523524980207068,0.09240579543760943,0.31115276332522723,0.004742040049063799,0.003599698349643671,0.005073179435578112,0.012533052901515263,0.009551568217531595,0.013406124236753296,6.000031187616903,7.616593461350842,6.035248471571478,14.0,24.56,1.1,0.25,0.607814394149252,0.01236600381597589,0.04075189403545554,0.0920393799633681,0.09528246698717537,0.05816166083556404,-0.0021315651329067743,-0.0001180767746370731,0.0002022248057288393,0.01046143170933204
124,1.2002165009469699,0.009360288746502174,14.0,24.56,23.0,7.0,1.8987440133139355,0.2536202711317358,0.9377793705283988,0.12682017277317384,0.09355273555844472,0.3082595531363415,0.0018523812306056428,0.00533812854612778,0.006083314555153886,0.0048957775311417855,0.014098034359211056,0.016076206402133267,6.000204344381511,6.735672411973411,6.024513527296476,14.0,24.56,1.2,0.25,0.8228972538684806,0.013622159085571184,0.028914299298500708,0.11076182220434413,0.12263806098663445,0.0871330066857244,-0.004339775539640029,-0.0007624046292223014,0.0021003213187151598,0.017441955643488445
125,1.2002296401515153,0.009644956118345179,14.0,24.56,23.0,7.0,1.899244788876882,0.2596538009550537,0.9484842081782149,0.12991523681789302,0.09614575325974378,0.31694939350714674,0.0027215803127202515,0.00566050830153126,0.0062402781214168255,0.0071930434023310015,0.014947104019907138,0.01649109845036297,6.000094675378694,6.654437535734129,6.023294645198644,14.0,24.56,1.3,0.25,1.114099905092382,0.023594697006818464,0.03382149630201501,0.12876346256353569,0.13188888828206716,0.07086006703981002,-0.006387239359042286,-0.0004918264093621952,0.000770138368971693,0.01948869664847903
126,1.2002141335227272,0.009508091238674944,14.0,24.56,23.0,7.0,1.9000645700193837,0.25950646884849066,0.9491375183833112,0.13009562155914087,0.09625048865798994,0.31444899149874855,0.003752115498636445,0.0066025608494083045,0.01062341110001734,0.009916714629998671,0.01743204797859671,0.02807627636726787,6.000049823775513,6.481071775493397,6.008036938856539,14.0,24.56,1.4,0.25,1.3416538818767576,0.02236600382859637,0.00841335231212504,0.06977049085773465,0.07147456866349773,0.03230339469601198,-0.0010138765809237847,-0.0003744847687701381,0.000409917835160343,0.005507413422434101
127,1.200229521780303,0.009398095207567007,14.0,24.56,23.0,7.0,1.8983160378341457,0.25358789665309184,0.9448122331041063,0.1266239378192812,0.0934689824948425,0.3067191052343773,0.004268778114974626,0.0031247784939096904,0.005675857743103329,0.011282237087822689,0.00833203997897563,0.014999191528766638,6.0000384727406395,8.132447411373029,6.028159301555399,14.0,24.56,1.5,0.25,1.347028883117618,0.0218589015707535,0.0006207386328297258,0.037083727411545156,0.03858938557738915,0.01558384080388515,-0.0001430300173243178,-0.00015341093464207742,0.00015793749089783405,0.0015528642001187243
128,1.2002092803030302,0.009307392865957947,14.0,24.56,23.0,7.0,1.8999108135066887,0.25489969931292245,0.9446946847198853,0.12701403932191999,0.09361536411846266,0.30770924267393474,0.0025543879501357183,0.003015684748821076,0.009254992597712132,0.006751159318035028,0.008055245096761567,0.024459440458314035,6.000107497142325,8.288968002890625,6.010589710847764,14.0,24.56,1.6,0.25,1.3470601330539493,0.012868844670733917,-0.005686553049324148,0.031622994968554745,0.02935500118786572,0.011868186912505407,1.3213373035689159e-06,-0.00013004347663250895,1.5908534350920968e-05,0.001000817786519963
129,1.2002174479166665,0.009486920626762922,14.0,24.56,23.0,7.0,1.899170247049292,0.25315093534031413,0.9414874791809299,0.12568673787832543,0.09243499748374212,0.3121036825343213,0.0027468668418392296,0.0034048492300983633,0.0048249453829736,0.007259874890383541,0.0090491138682027,0.012749950847613083,6.0000929393152775,7.803727163078938,6.0389730290164065,14.0,24.56,1.8,0.25,1.2942736747702865,-0.0028527462094313128,-0.023204545499759137,0.042245396046412864,0.043228569746122,0.018846228055623655,0.00016599192862891505,-0.0001069567840576309,0.000129485612274392,0.002003332523736958
130,1.200239228219697,0.009430263830542475,14.0,24.56,23.0,7.0,1.8994857888502146,0.25340559215086444,0.9407471106390657,0.1250413576364952,0.09211514369711526,0.30867135462900064,0.0028156046346457133,0.003313077344877258,0.004254293192590979,0.007441546676316359,0.008813484868693225,0.011241473227067308,6.000088461209315,7.903821331777181,6.050131492290807,14.0,24.56,2.0,0.25,1.3355042627363494,-0.004661458348202745,-0.033582859930682,0.029321702062996544,0.023404410553907483,0.011294463177885376,4.1791688271053745e-06,-0.00011840354055481992,8.599784033262958e-06,0.0007671833500948202
131,1.2002297585227273,0.009448651658926204,14.0,24.56,23.0,7.0,1.8994432899845168,0.25818080512881947,0.9504463196996107,0.12782454791458076,0.09448006394994983,0.315937784008239,0.0026530690014517776,0.0033270607397432074,0.004385151679665703,0.007011970194055981,0.008849353729364354,0.011587392969695555,6.000099633535035,7.8881783153068525,6.047184472527853,14.0,24.56,2.25,0.25,1.3273759471873443,-0.004533396488241322,-0.04265277124846496,0.03411912138457102,0.02966093860476543,0.013333997493953741,0.0001054968107537252,-0.00011332312522048762,3.104924539781007e-05,0.0011103145212707105
132,1.2002320075757573,0.009457440818753816,14.0,24.56,23.0,7.0,1.899888025366564,0.2521539297019438,0.9411231943780601,0.1248722837976913,0.09233607792882116,0.3120053220436312,0.004438598819329954,0.005648639086900795,0.004735570251883784,0.011731067659769749,0.014915838468678054,0.012513697714009864,6.00003560078243,6.6576104081640235,6.040456629216719,14.0,24.56,2.5,0.25,1.234174715806589,0.01765861743550693,-0.04948768946087512,0.07744558465015934,0.07345953712344,0.044763517195041395,-0.0006324697274321366,-0.0002214825648148322,-0.0001107943295392062,0.006695775473874231
133,1.200228693181818,0.009476215517779503,14.0,24.56,23.0,7.0,1.8994846809249721,0.2565058727748952,0.9530276213246338,0.12545459426380337,0.09263951593006498,0.3161613525906268,0.005924379908713907,0.003974363744631853,0.0066490613582360514,0.015657938342017147,0.010523678415957782,0.017571600989845067,6.000019981171559,7.32792208165217,6.0205179169560985,14.0,24.56,2.75,0.25,1.3278948875200567,-0.022563920447062243,-0.03954876901116222,0.03159481658193161,0.022511509517363415,0.009537255896131918,5.9283085672069626e-05,-0.00013507993395582714,-6.477075993501612e-06,0.0007976020414331011
134,1.2002262073863639,0.009260855136660811,14.0,24.56,23.0,7.0,1.8992234490307627,0.25804838907952543,0.955969957581055,0.1292264109287616,0.09543673664332526,0.31283715772685294,0.0046906982889020335,0.00434290882956558,0.005841137049984147,0.01239735831060198,0.011485444502988768,0.015436069754844545,6.000031871490064,7.112359154097862,6.0265882712037815,14.0,24.56,3.0,0.25,1.3205591875946883,-0.024477272741547273,-0.04425473490912488,0.02889019982538954,0.02283401389091911,0.009276451853093342,-3.509154785246424e-05,-8.184384046968607e-05,-3.7830363444389983e-06,0.0007207027941495156
135,1.2002239583333334,0.009367082311380438,14.0,24.56,23.0,7.0,1.899271235616896,0.25531308016723836,0.9491933775477965,0.12656421842111684,0.09344215816682142,0.31213458364353885,0.003343459155415672,0.0024142879924548646,0.004119653752529959,0.00883664917244647,0.006559778076234186,0.010885555082070994,6.000062732180444,9.482186069986989,6.053466531366323,14.0,24.56,-3.0,0.375,1.3353016123062733,-0.03400189393202405,-0.047912405379589254,0.030867673843090557,0.02715043968680706,0.009484705493075648,-1.1304367742811828e-05,-0.00012310833395908448,1.6506321391927693e-05,0.0008895382685698701
136,1.2002343750000002,0.009314550324926046,14.0,24.56,23.0,7.0,1.8999054049144257,0.2553367993749705,0.9489454476877568,0.12541534990402642,0.09238725939944589,0.3101311157564143,0.003176094145852986,0.003927869016563176,0.0042501073143212465,0.008394308860128903,0.010402723377353828,0.011230407906330264,6.000069528951384,7.3599448031331285,6.050231329254133,14.0,24.56,-2.75,0.375,1.342412407707536,-0.0326401515385166,-0.04392613638959698,0.031137275815364983,0.027635703891141124,0.010547101197155606,-1.2768235974610375e-05,-7.002810349416257e-05,-5.790784973323485e-06,0.0009218150370011923
137,1.200240293560606,0.009436777673925312,14.0,24.56,23.0,7.0,1.899201818219746,0.2602492540333432,0.955488835097341,0.12923588653389612,0.09562511186847154,0.31237721047134503,0.0017039842959091424,0.005538304476520394,0.008209770710483809,0.004503568941100836,0.01462514608801,0.02169680589528173,6.000241508710901,6.683631376605934,6.013456873804553,14.0,24.56,-2.5,0.375,1.3108413829327081,-0.027446496235577135,-0.030734375024842324,0.06467610486721379,0.06651321333085186,0.03462383629237943,0.0008166200258198118,-9.119980779752645e-05,-7.94429561239453e-05,0.004900586611314052
