run,tsr,cp,cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
85,1.9000575217347695,0.24926584404931168,0.9339044291055631,0.00803677333159845,0.016300233632294246,0.027508073707910956,8.000124725092839,9.320435934910432,8.019827391510951,2.0,0.125,1.1125107609191516,0.0077246132882333235,-0.03338231343646655,0.03468549296894414,0.02668784975128504,0.015247463270459838,6.967956320844693e-07,-0.0001575296760154081,4.864656553844614e-05,0.001073543843686579
86,1.8999682652382512,0.2538693443419683,0.9461320077939931,0.01317854406234934,0.022437483135187647,0.02896385288463971,8.000046384668115,8.691838015310402,8.017884272259861,2.25,0.125,1.0475369886455717,-0.018410221981770898,-0.029871217302908204,0.06718753825110708,0.069046549720538,0.04124512507724701,0.000734114421170848,-6.52987952130818e-05,3.949667716527998e-05,0.0054895293723206395
87,1.9002660780609741,0.2543834846501257,0.9419727978086564,0.0068897689267438155,0.01435224733739816,0.027005543196073917,8.000169721551929,9.710473456198297,8.020572826698006,2.5,0.125,1.0968271132234044,-0.012187962351742977,-0.03602186355370498,0.03581735031686886,0.03186273289530125,0.018395896602336356,7.253973642269531e-06,-2.4768996508900104e-05,-1.8893803127774053e-05,0.0013178193173580361
88,1.9004228080186314,0.24858002224012535,0.9370539621356098,0.010323995391549308,0.019923537885979503,0.03288048536839163,8.000075591107418,8.879811812574571,8.013876798334245,2.75,0.125,1.1010124444280123,-0.011107262915483205,-0.03984768000849734,0.030821940527136316,0.025188898036357522,0.011038110886808913,3.0679208426441486e-05,-0.00016736468953828615,9.655645942179683e-07,0.0008528693754103844
89,1.8996904925882683,0.25158804253485206,0.9395027645997993,0.011208995604977293,0.014169311690593154,0.028034756108147353,8.000064113072963,9.754668571924256,8.019089921126804,3.0,0.125,1.100052122089313,-0.013691557357765938,-0.03692905191553189,0.03282718666366335,0.02481026357288818,0.011822035454140756,-1.667718883152949e-05,-0.0001792373941171711,2.1225440982313577e-05,0.0009161587480354096
90,1.8995303039057774,0.2506659002874029,0.9385993357331271,0.009422600024946937,0.01538331964256158,0.03238006879514135,8.000090722337898,9.48431678232793,8.014309002284062,-3.0,0.25,1.122013459415808,-0.023973445390632862,-0.035393001417840006,0.035563469906746976,0.026636428007626393,0.010639418730708507,-4.478982459773796e-05,-0.0001466067584300139,5.9826522459712865e-06,0.0010433773930033192
91,1.899220097544572,0.25351793353912455,0.942393496545574,0.011882175080658568,0.015626697755876398,0.023718010449662243,8.000057045459943,9.43723724285466,8.026672424950918,-2.75,0.25,1.1241398334703527,-0.026264448951077348,-0.03968873961061678,0.03605664833644947,0.027235289097447886,0.01215595495564539,-2.2750676957938837e-05,-0.00016163748007614126,2.3783488165932742e-05,0.001094437091374297
92,1.8992961882469714,0.2513979200610546,0.9395064409489433,0.006593181056452264,0.015305042170688607,0.028473671180592672,8.000185286701296,9.499447082849592,8.018506100937143,-2.5,0.25,1.1218068660067677,-0.027578629126461845,-0.02786204583966706,0.044037202625845026,0.04163654515120215,0.020568342070121304,0.00026078249619692945,-0.00013830312520555943,1.959949310410289e-05,0.0020472782062725993
93,1.8996751589708527,0.2533315755886495,0.9425494232553556,0.007298805710887937,0.014207838222086691,0.019275445389637855,8.000151207652415,9.74496119582288,8.040392351000762,-2.25,0.25,1.118741254406213,-0.03142084039857282,-0.02579878876671229,0.0491880270871126,0.04427567364262499,0.025990973278392376,-0.00023549313519033368,-0.0003062080060676406,-4.55598602808645e-05,0.0025268138285728142
94,1.9000156000127724,0.2544697310840026,0.9395434631266365,0.008435535201486762,0.015129435131636424,0.028095645868932692,8.000113212292442,9.53619318626097,8.019007116095127,-2.0,0.25,1.1369273698442162,-0.025288306507992343,-0.02310659052108439,0.03545096449136294,0.028678552505950576,0.0141511614052205,-1.4179692796061668e-05,-0.0001370840659399665,2.5995905444484354e-05,0.0011393596704405739
