run,tsr,cp,cd,delta_cp,delta_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,k
21,1.0002524436332896,0.0913666214924671,0.6711875216100394,0.005659593345848857,0.0022240000000000003,0.0,0.25,0.5219890709362954,0.032571672414248305,-0.04479829362548297,0.1831849673416992,0.18494072818807125,0.14956852592964587,0.005038114974508969,0.045065274575740305
22,0.9009762897325396,0.07077844356043676,0.6488691466444971,0.005093606841698084,0.0022240000000000003,0.0,0.25,0.5932901258408168,0.04930283450846506,-0.039066308297093386,0.18091546143738066,0.2120030382805749,0.1402817324410434,0.00735255364348808,0.04867732844197788
23,0.7984477999241235,0.05879647800829968,0.6022260713524158,0.004515953265316039,0.0022240000000000003,0.0,0.25,0.5608793879626238,-0.005304136263443883,-0.037546463270150786,0.19847097038362047,0.20929222067845568,0.16095794740049704,0.002339122552896093,0.05455071027645826
24,0.7002794075063158,0.04350241288536543,0.5540039513480068,0.003961379923828152,0.0022240000000000003,0.0,0.25,0.5892231156407985,-0.0029205232216070244,-0.10050937094206865,0.20157988191235626,0.24045977506257113,0.17244522711074345,0.0006891232028114688,0.06409635428410884
25,0.5993899225366328,0.031290282249148836,0.548680342341409,0.003391246420228047,0.0022240000000000003,0.0,0.25,0.6739224695185803,-0.036034433225185146,-0.09569627522061616,0.21268969654323108,0.2285958672277382,0.19968481855274006,0.0008321946250609399,0.06868350214484707
26,0.4997932279282511,0.018584163607462602,0.5048953217344663,0.0028273646323518672,0.0022240000000000003,0.0,0.25,0.6762394802291182,-0.08727775890433281,-0.05818144607470126,0.22331359144935448,0.2219713056197213,0.18597315653543714,0.013059593543060752,0.06686311779814356
27,0.399243370737326,0.013061848627037305,0.4674272602092704,0.0022599717689067923,0.0022240000000000003,0.0,0.25,0.6220371930533591,-0.014493491723775153,-0.035552330080059064,0.25679125088510996,0.22830964736405,0.19468398660072633,0.005559803595011597,0.07798444812469407
28,0.299964192564429,0.009388562808849229,0.42280776280660154,0.0016970503049135342,0.0022240000000000003,0.0,0.25,0.6430700933003342,-0.049359942443386866,-0.022771684463155927,0.2556682571480109,0.23208847610254268,0.1698562848451068,0.0125449144778069,0.074041237977042
29,0.19994646413394263,0.004862381921484529,0.3972020421345686,0.00113120965995175,0.0022240000000000003,0.0,0.25,0.7012315433375735,0.028180861300410052,-0.06997946520871239,0.23395646721219976,0.24321615937437432,0.18341932737118366,0.0067831683328988665,0.0737661891922658
30,0.1001756230407798,0.0021093645688675137,0.34141652040156945,0.0005666372236034636,0.0022240000000000003,0.0,0.25,0.6227721995996014,-0.014487934314713699,-0.048512968521450685,0.2950215861631061,0.22849609842890625,0.2002761277676096,0.00035816938619404834,0.08967936532650767
