run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
13,1.2002050891181988,0.009201164527966339,14.0,24.66,22.0,7.0,1.7992844484010782,0.26534898321373307,0.9353747902543824,0.1333890840756057,0.09426258795166681,0.31238951274690663,0.002257399582732997,0.002722882242454367,0.003737243317717466,0.005966228562135854,0.007292599524630431,0.00987463622174551,6.000133837712141,8.509967109994621,6.064979189335884,14.0,24.66,0.0,0.25,0.33758067497179806,0.02109474670121186,-0.03150656654035994,0.13665205994169585,0.1434810388133221,0.11843224464280193,-0.001107881039252788,-0.0037461012549834345,0.0017791769681509088,0.026630898376095218
14,1.2002040816326536,0.009147981331856537,14.0,24.78,21.0,7.0,1.6992823643295139,0.25662739393365797,0.905648308307603,0.14226423181762565,0.09598290348599554,0.30358667061411343,0.00289130316428465,0.0035884798101576973,0.003676797491709501,0.007641615623464836,0.009500444920146749,0.009714842047398751,6.000079402157247,7.30362404830511,6.067134023487812,14.0,24.78,0.0,0.25,0.32503710585691253,-0.008027365330649032,-0.03646846014541075,0.1678287428354523,0.15853321815095917,0.1271445766812914,-0.003616588535191823,-0.007439784600134682,0.004961068348073701,0.0347163960826883
15,1.200211353211009,0.008272143949728904,14.0,24.9,20.0,6.0,1.599776902609188,0.24572247488608237,0.8764091123851366,0.1527761486215555,0.097426919447935,0.2898470244285566,0.00456527443553519,0.0018928313483666224,0.005654804893490403,0.012855493102175347,0.0053783777443363835,0.015916677024073265,5.0000258559092305,8.413546335140769,5.023645447186769,14.0,24.9,0.0,0.25,0.3348596329405613,-0.003770642169514124,-0.022996330260002234,0.15679579422372855,0.12637974882712266,0.127833563143528,-0.002331040292004619,-0.004036911895539939,0.00345897531041539,0.028436040891201053
16,1.2001735448473283,0.0071605389750347866,14.0,24.48,18.0,6.0,1.498311071417982,0.2304053351126295,0.8531253087928513,0.17007689577937082,0.10097760591367069,0.2730026643746536,0.0017163736548216047,0.0029913134640609067,0.003881102253007454,0.004833174392657304,0.008339084060815164,0.010919064554104593,5.000178301572703,6.226007084715647,5.050226621874849,14.0,24.48,0.0,0.25,0.2904532441931807,-0.011084446488130475,-0.013749999998642562,0.1382551155603471,0.12865294399128097,0.10409423190015303,0.0028766140739471665,-0.0007973427865111104,0.0006776446870814856,0.023239740090858416
17,1.200213325471698,0.007972698252656491,14.0,24.6,17.0,5.0,1.3990910194811539,0.2060989582697667,0.8194941216547049,0.1953838594570764,0.10884250340930207,0.26835858830618226,0.004456549064726586,0.0033103384339316687,0.006229856451938625,0.013833827440445583,0.010027237931804964,0.019323939633665844,4.000020653517987,4.70116672214044,4.015585610178598,14.0,24.6,0.0,0.25,0.41013066079116095,-0.020011792499088805,-0.027395754610188304,0.18497612968926366,0.17226322472499664,0.17646557083242845,-0.0015378064665933753,-0.009312444917279769,0.0076194113764258406,0.047493029473807444
18,1.2002065826330535,0.008017764928828774,14.0,24.71,16.0,5.0,1.3027054945994947,0.1784289652903653,0.7856056419793481,0.21449137191702375,0.11072338941185884,0.280321205965842,0.0021063381934840995,0.002914505373308215,0.0040714404179792475,0.006538382029198589,0.008811543801665251,0.01261638657996304,4.000090419416065,4.78548482466238,4.036514699835787,14.0,24.71,0.0,0.25,0.4374211016678478,0.015893090501111123,-0.012669000873319547,0.20641029938401712,0.20376813238672345,0.17804317035767,0.005233396996909791,0.0032471463121258692,0.0060548649493533625,0.05788598010024068
19,1.2001434633027521,0.007036991341851811,14.0,24.9,15.0,5.0,1.2005185641567695,0.15529432882472183,0.7534408561101076,0.22936428475908346,0.11039779693776845,0.29336875906405563,0.004350734449755716,0.004535575866352425,0.009451367214916923,0.013505362228006313,0.013916442345468096,0.029328935376510885,4.000020725697682,4.272388170158724,4.0067711512488104,14.0,24.9,0.0,0.25,0.5180440370059666,0.0461908258323626,-0.08052706419433672,0.20267166912400486,0.20624972565083544,0.1714968593437567,0.0019614544508141383,-0.0004388662502737737,0.0060815813288525155,0.05648704040278259
20,1.2001939445525294,0.007611375782373616,14.0,24.28,13.0,4.0,1.1026482542064426,0.12331391629683436,0.7397900915570798,0.22674041375219464,0.09916681837020509,0.29783737162414925,0.00676581580746896,0.005908217220004598,0.0073467848909598895,0.024862813869009827,0.021449585339382748,0.026969291787610452,3.0000062987736884,3.1012507820804167,3.0084050686036785,14.0,24.28,0.0,0.25,0.5916955255964909,0.05428842409550808,-0.04427140073177852,0.2015946062819597,0.1989470970178533,0.15247087138293827,0.0023993099634340717,-0.0021704090509079297,0.00043410987195767605,0.05170868727880313
21,1.2001558935361216,0.007130228751028521,14.0,24.52,12.0,4.0,0.994791897152818,0.0969904365211324,0.7033421581241697,0.22562947613293963,0.09256293982416998,0.28458413434945984,0.010255363583784547,0.004363787169409778,0.004833073366836677,0.03768611492604491,0.01575462506750073,0.017717408124128847,3.000002685669022,3.1514354857144706,3.0194350882260474,14.0,24.52,0.0,0.25,0.6593556821911365,0.04102851705223511,-0.04620152081715026,0.22938374370850648,0.24561241264346612,0.18299167378402936,0.008491541192580235,-0.005679434759835398,0.0028054449116414293,0.07317935234986447
22,1.2001852112676055,0.00622860897936388,14.0,24.65,11.0,3.0,0.9009684598623231,0.07983123385024767,0.6713527012122291,0.2037148033668903,0.0745005688790261,0.24239024048359312,0.0017403525870636138,0.0022874863792169847,0.005709501401186882,0.009170830295823324,0.010902283996945998,0.02997742571520925,2.000061148735489,2.3069941050156144,2.0092819328353624,14.0,24.65,0.0,0.25,0.6717490602277667,0.08294454906269282,-0.06085821583297567,0.26072491329346664,0.2779937083626198,0.18342221858094268,0.011897840299880474,0.0044970232217630265,0.000818442527424879,0.09063564296980389
23,1.2001843492208981,0.007514029548141915,14.0,24.91,10.0,3.0,0.7996208907826957,0.07241385642083087,0.6436809948356443,0.2149958261149144,0.07380748831426158,0.234464248559031,0.003552112055704298,0.003360382906638812,0.006083770549941014,0.018718286921317797,0.017003079031157026,0.031956353444965085,2.000014441502416,2.1102275172827865,2.0081741367625487,14.0,24.91,0.0,0.25,0.6180059771768042,0.025737734769625997,-0.017203941162793848,0.2856690392012535,0.3239149007713106,0.20895262091192582,0.002556429280626596,-0.0028050608803456365,0.0039780641927013366,0.11986243112903582
24,1.2002061183550652,0.0057653836477973,14.0,23.97,8.0,2.0,0.699550095874886,0.0567258290923838,0.609515079900639,0.21608516690405608,0.06636418396171125,0.21028196223049728,0.0009410050430457284,0.0005706396427148375,0.005947993260205175,0.016905352519433862,0.0031293820592646136,0.1058682265518274,1.0001014180728807,2.7895388332293423,1.0042761632302275,14.0,23.97,0.0,0.25,0.639142568056854,0.062010558260089214,-0.023566700145707314,0.2855610074855899,0.39688414696917573,0.24599607312960128,0.019278341385018015,0.017500922843014178,0.013645932173072086,0.16987085485186948
25,1.2001905697445974,0.005742589684390765,14.0,24.18,7.0,2.0,0.5999181406064965,0.03623647683126618,0.5575465949091853,0.16156355266208836,0.04220076304818112,0.189214525645023,0.0012200071442495242,7.886939282065672e-05,0.002177746971590011,0.021919735601428694,0.0009840181673336234,0.03651570645277382,1.0000595818051765,8.496838904253064,1.0320918595257957,14.0,24.18,0.0,0.25,0.7351845474858716,-0.01970761705988547,-0.11434430262226655,0.29441529697778834,0.27873962086602305,0.2194582629062888,-0.00496497294520928,0.011516493725460548,-0.002448159328104538,0.10779040534942506
26,1.2002000478011474,0.004942727582179637,14.0,24.46,6.0,2.0,0.49986352460725547,0.02271904126409124,0.5463417151474984,0.14189150228441894,0.028406339062957642,0.14298982747512848,0.0006275304132154769,0.00020929841351760917,0.0014097210080638578,0.011270654564227135,0.001071598354416327,0.021617881276377735,1.0002227813889488,7.226285080199149,1.0773058413070555,14.0,24.46,0.0,0.25,0.8324565952183675,-0.05352702091882493,-0.1118675908734323,0.28755075994282514,0.31500887466353594,0.2291530998075616,0.01927017192263029,0.01228941120257481,0.009924615693886535,0.11715747977620383
27,1.2001589449541283,0.0047261428507705166,14.0,24.9,5.0,1.0,0.4000432260509186,0.01585633809139435,0.49788231371138336,0.1308252726200443,0.0229589685048924,0.11201614910326572,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,14.0,24.9,0.0,0.25,0.8217299047057107,-0.04439174314510128,-0.0501674311547946,0.2630638411571336,0.279063968368172,0.20163202141837164,0.0070690611188036585,0.00257158555074587,0.006943977517338999,0.09382429721093477
28,1.2001541331802528,0.004584217468318633,14.0,22.71,3.0,1.0,0.3001919127748026,0.010897780538190516,0.4650088347646649,0.09996904309945977,0.01417245290846336,0.08804073462608666,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,14.0,22.71,0.0,0.25,0.8525619981436211,-0.04762055118002605,-0.02503559138197088,0.30792397028200397,0.27984947133206234,0.19153889315006636,0.014284005677332418,-0.005890249754893962,0.014424956769886095,0.10484979894040491
29,1.2001541331802528,0.004622099836781864,14.0,22.71,2.0,0.0,0.19946780073007106,0.0061489471452082075,0.43103754809390865,0.0803749935282631,0.008347577036963618,0.0607253743243106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0,22.71,0.0,0.25,0.7834168114754648,0.036061997802197786,-0.0624615386876638,0.31569191900857013,0.31362198623537346,0.23519753141482758,0.002041349581581089,-0.0007641881127862076,5.306534698741462e-05,0.129045034625329
30,1.2001621543778802,0.0046269375314940365,14.0,22.68,1.0,0.0,0.10001113159008464,0.0023189140771012915,0.36937645963685134,0.045404811323324586,0.003400295725414178,0.045741791133501894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0,22.68,0.0,0.25,0.7199631114368211,-0.0013202761813852302,-0.07212557590131762,0.3965331471370389,0.31073966797304897,0.2113858248752551,0.0012383369679798111,-0.012616557257122471,0.0037046989363059726,0.14915482817621475
